% Model,FULLCELL_NFMZC_cycle_0.1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 02:27"
% Dimension,3
% Nodes,11
% Expressions,15
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9513.3,xPos (1) @ t=9513.3,cPos (mol/m^3) @ t=9513.3,solid.mises (MPa) @ t=9513.3,epsilonChemPos (1) @ t=9513.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9880.1,xPos (1) @ t=9880.1,cPos (mol/m^3) @ t=9880.1,solid.mises (MPa) @ t=9880.1,epsilonChemPos (1) @ t=9880.1
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,0.217092757533017,8876.934834509655,0.02748299897082957,-0.006263257939735863,0.19158661697344484,0.9211876349019558,37667.413221452436,0.018333039683429905,-6.30498920784354E-4,0.19158661697344484,0.948353838641369,38778.24079136392,0.018331089342140942,-4.131692908690472E-4
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,0.21709055891828377,8876.844933031896,0.024795675036572658,-0.006263275528653729,0.22341925950609215,0.9211886194964359,37667.45348157506,0.01655276609683419,-6.304910440285132E-4,0.22341925950609215,0.9483548520772958,38778.28223081489,0.016549363399060293,-4.1316118338163393E-4
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,0.21706134951575234,8875.650558950634,0.041902200104799794,-0.006263509203873981,0.3654522618306715,0.9212067547849581,37668.19503452342,0.02797295544748412,-6.303459617203357E-4,0.3654522618306715,0.9483730678716537,38779.02707565132,0.02796917569683965,-4.130154570267711E-4
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,0.2170926247415324,8876.929404658522,0.02731936891052896,-0.00626325900206774,0.19142219510953803,0.9211878887856225,37667.42360276958,0.018214960287597705,-6.304968897150201E-4,0.19142219510953803,0.9483540825169902,38778.25076345153,0.018214098529870035,-4.1316733986407946E-4
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,0.21705299227609257,8875.308830959802,0.0493731880400763,-0.0062635760617912595,0.38783832910806787,0.9212121285380483,37668.4147675838,0.03295588218843256,-6.303029716956137E-4,0.38783832910806787,0.9483784533368225,38779.24728761923,0.032952115808800295,-4.1297237330542125E-4
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,0.2170508041885419,8875.21935993912,0.05185513839096293,-0.006263593566491666,0.3936994360180811,0.9212135354909078,37668.47229796387,0.034613017753461844,-6.302917160727374E-4,0.3936994360180811,0.9483798633561313,38779.30494338658,0.03460925511595542,-4.129610931509491E-4
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,0.2170203779977625,8873.97523131926,0.0764577327044451,-0.0062638369760179,0.47002321018730503,0.9212332236890266,37669.27734947131,0.05100598981048665,-6.301342104877872E-4,0.47002321018730503,0.9483995877023367,38780.11147299128,0.051003121331448055,-4.128032983813073E-4
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,0.21701967691295446,8873.946563922775,0.07693846332876297,-0.006263842584696365,0.4715119346672853,0.9212336812400488,37669.296058757864,0.051321611933600506,-6.301305500796094E-4,0.4715119346672853,0.9484000458889288,38780.13020826632,0.051318959485910254,-4.127996328885698E-4
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,0.2170086919591836,8873.497388556943,0.08561674223916892,-0.00626393046432653,0.4956512155023368,0.9212408600990991,37669.58960270055,0.05710285505880676,-6.300731192072077E-4,0.4956512155023368,0.9484072338810849,38780.424125662204,0.05710048836780776,-4.127421289513202E-4
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,0.21692244415696366,8869.970711165095,0.15151717389741423,-0.006264620446744291,0.6851795433059145,0.9212972245434509,37671.89434794023,0.10100930259383911,-6.296222036523931E-4,0.6851795433059145,0.948463670033551,38782.73180305064,0.10101005568550803,-4.1229063973159154E-4
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,0.21670295461868855,8860.995771833786,0.32081765124356965,-0.006266376363050492,0.9999999999999994,0.9214412034162875,37677.78165199515,0.2136622137854513,-6.284703726696997E-4,0.9999999999999994,0.9486078437983898,38788.62707625028,0.21370775376709314,-4.111372496128816E-4
