target_desodiation_fraction,target_average_xNa,actual_average_xNa,solution_level,absolute_xNa_error
0.0,1.0,0.8893182827312033,6,0.11068171726879672
0.25,0.8,0.7637749122328054,4,0.036225087767194686
0.5,0.6,0.6677101235716142,3,0.06771012357161421
0.75,0.3999999999999999,0.4755805462492465,2,0.0755805462492466
1.0,0.19999999999999996,0.28410034941001905,1,0.08410034941001909
