% Model,FULLCELL_NFMZC_cycle_0.1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 02:26"
% Dimension,3
% Nodes,11
% Expressions,15
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9513.3,xPos (1) @ t=9513.3,cPos (mol/m^3) @ t=9513.3,solid.mises (MPa) @ t=9513.3,epsilonChemPos (1) @ t=9513.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=10576,xPos (1) @ t=10576,cPos (mol/m^3) @ t=10576,solid.mises (MPa) @ t=10576,epsilonChemPos (1) @ t=10576
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.19158661697344484,0.2957529228680902,12093.353335458509,0.027482944404106896,-0.005633976617055278,0.19158661697344484,0.21709275753301666,8876.934834509639,0.027482998971387188,-0.006263257939735867
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,1.0000000000000004,40890.055179107454,0,3.826176799789817E-18,0.22341925950609215,0.295750728224768,12093.263596371971,0.02479600139559871,-0.005633994174201856,0.22341925950609215,0.2170905589182835,8876.844933031884,0.024795675037179634,-0.006263275528653732
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,1.0000000000000004,40890.055179107454,0,3.892683165087529E-18,0.3654522618306715,0.29572152950340486,12092.06965904427,0.041903053890711375,-0.005634227763972762,0.3654522618306715,0.2170613495157523,8875.650558950634,0.04190220010570063,-0.0062635092038739815
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,1.0000000000000007,40890.055179107454,0,4.878443699547242E-18,0.19142219510953803,0.2957527887515184,12093.34785142449,0.02731919403923503,-0.005633977689987852,0.19142219510953803,0.217092624741532,8876.929404658506,0.027319368911278338,-0.006263259002067744
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,1.0000000000000004,40890.055179107454,0,4.359629843738982E-18,0.38783832910806787,0.2957131737835006,12091.727993196324,0.04937404410597452,-0.0056342946097319956,0.38783832910806787,0.21705299227609254,8875.308830959802,0.04937318804037691,-0.00626357606179126
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,1.0000000000000004,40890.055179107454,0,4.4818855472950595E-18,0.3936994360180811,0.2957109860938514,12091.638538445854,0.05185579244948687,-0.005634312111249189,0.3936994360180811,0.21705080418854186,8875.21935993912,0.051855138391237024,-0.006263593566491664
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,1.0000000000000009,40890.05517910747,0,6.626479690556611E-18,0.47002321018730503,0.2956805650413722,12090.394619931374,0.07645861770784387,-0.005634555479669023,0.47002321018730503,0.21702037799776247,8873.97523131926,0.07645773270511635,-0.006263836976017899
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,1.0000000000000009,40890.05517910747,0,6.619144246038503E-18,0.4715119346672853,0.2956798640512471,12090.365956406476,0.07693950967317931,-0.0056345610875900235,0.4715119346672853,0.21701967691295443,8873.946563922775,0.07693846332941964,-0.006263842584696364
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,1.0000000000000009,40890.05517910747,0,6.473397063240822E-18,0.4956512155023368,0.2956688803927292,12089.916834003614,0.08561778547778937,-0.005634648956858166,0.4956512155023368,0.21700869195918354,8873.497388556943,0.08561674223949989,-0.006263930464326531
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.6851795433059145,0.2955826427601221,12086.390572447792,0.1515179286699354,-0.0056353388579190224,0.6851795433059145,0.21692244415696366,8869.970711165095,0.15151717389666408,-0.006264620446744291
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,1.0000000000000007,40890.055179107454,0,5.3290705182007515E-18,0.9999999999999994,0.2953631947762051,12077.417332276482,0.3208094217939187,-0.005637094441790359,0.9999999999999994,0.21670295461868858,8860.995771833788,0.32081765124592543,-0.006266376363050492
