% Model,FULLCELL_NFM_charge_1C_mesh_fine.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:01"
% Dimension,3
% Nodes,16
% Expressions,30
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=953.33,xPos (1) @ t=953.33,cPos (mol/m^3) @ t=953.33,solid.mises (MPa) @ t=953.33,epsilonChemPos (1) @ t=953.33,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=1906.7,xPos (1) @ t=1906.7,cPos (mol/m^3) @ t=1906.7,solid.mises (MPa) @ t=1906.7,epsilonChemPos (1) @ t=1906.7,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2383.3,xPos (1) @ t=2383.3,cPos (mol/m^3) @ t=2383.3,solid.mises (MPa) @ t=2383.3,epsilonChemPos (1) @ t=2383.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2860,xPos (1) @ t=2860,cPos (mol/m^3) @ t=2860,solid.mises (MPa) @ t=2860,epsilonChemPos (1) @ t=2860,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=3553.2,xPos (1) @ t=3553.2,cPos (mol/m^3) @ t=3553.2,solid.mises (MPa) @ t=3553.2,epsilonChemPos (1) @ t=3553.2
1.5406842116986625E-5,4.5E-6,4.5E-6,0.26506717937776786,0.9999999999999989,40976.22478386163,1.0552163989687078E-27,-1.1410775918887211E-17,0.26506717937776786,0.80900960559893,33150.159451325024,0.1737729848488488,-0.0022918847328128413,0.26506717937776786,0.6169919669793508,25282.00152878283,0.17346016712238405,-0.004596096396247791,0.26506717937776786,0.5209849525474052,21347.996524591985,0.17345729465248763,-0.005748180569431137,0.26506717937776786,0.4249778214646982,17413.986740493307,0.17345229316721572,-0.00690026614242362,0.26506717937776786,0.28536756730831386,11693.285584049241,0.1734524669740719,-0.008575589192300233
1.5452915424254094E-5,4.5E-6,4.5E-6,0.28131038359372434,0.9999999999999989,40976.224783861624,1.1693059164873249E-27,-1.2690935678912445E-17,0.28131038359372434,0.8089975403792349,33149.66506417074,0.17152495633552847,-0.002292029515449181,0.28131038359372434,0.616979458460623,25281.48897690773,0.17116083275455451,-0.004596246498472524,0.28131038359372434,0.5209724259895806,21347.483233542796,0.171156490866342,-0.005748330888125032,0.28131038359372434,0.4249652637146488,17413.4721713045,0.1711490559016882,-0.006900416835424213,0.28131038359372434,0.2853550089129681,11692.770988418632,0.1711492449697274,-0.008575739893044382
1.5003702046221599E-5,4.5E-6,4.5E-6,0.12293962471673467,0.9999999999999999,40976.22478386167,5.693650777278821E-29,-2.0941602407613258E-19,0.12293962471673467,0.8091151759130684,33154.48532424767,0.05790361633286323,-0.0022906178890431794,0.12293962471673467,0.6171014161468646,25286.48634247329,0.05813592197726414,-0.004594783006237623,0.12293962471673467,0.5210945595564814,21352.487806033776,0.05814651111456461,-0.005746865285322222,0.12293962471673467,0.4250877014048154,17418.489205618785,0.0581660318630938,-0.006898947583142216,0.12293962471673467,0.28547745289475496,11697.78828053976,0.058167025650947904,-0.00857427056526294
1.5E-5,4.5E-6,4.5E-6,0.12313949825309667,0.9999999999999999,40976.22478386167,4.7826929584225336E-29,6.494607877293503E-20,0.12313949825309667,0.8091147974628534,33154.469816786586,0.05881143176953178,-0.0022906224304457593,0.12313949825309667,0.6171010735061857,25286.472302351805,0.05913435143954815,-0.004594787117925771,0.12313949825309667,0.5210942183625997,21352.473825196583,0.05914840292135748,-0.005746869379648804,0.12313949825309667,0.4250873627222036,17418.47532768395,0.0591743962117787,-0.006898951647333558,0.12313949825309667,0.28547711426719385,11697.774404860698,0.05917576885934159,-0.008574274628793675
1.548323907477745E-5,4.5E-6,4.5E-6,0.2881686766209337,0.9999999999999988,40976.224783861624,1.2039412224326014E-27,-1.3224695423879543E-17,0.2881686766209337,0.8089894968996749,33149.33547274424,0.15622490314669202,-0.0022921260372039003,0.2881686766209337,0.6169711258299798,25281.147537161458,0.15582443025783338,-0.0045963464900402404,0.2881686766209337,0.5209640817389305,21347.141317652506,0.1558186054690912,-0.005748431019132833,0.2881686766209337,0.4249568993295995,17413.129430382545,0.1558087978608325,-0.006900517208044804,0.2881686766209337,0.285346644104208,11692.428230134603,0.15580898623978423,-0.008575840270749502
1.5875628710885206E-5,4.5E-6,4.5E-6,0.39311862906059847,0.9999999999999978,40976.22478386157,2.407462005083347E-27,-2.7161051687569535E-17,0.39311862906059847,0.8088631785887745,33144.15942524247,0.3006195539190301,-0.0022936418569347054,0.39311862906059847,0.6168410508690236,25275.817556322563,0.29989961061434234,-0.004597907389571714,0.39311862906059847,0.5208338556764225,21341.805145242455,0.2998870754158633,-0.005749993731882929,0.39311862906059847,0.42482641168694607,17407.78253940566,0.29986513465175924,-0.0069020830597566465,0.39311862906059847,0.28521615102613235,11687.081116434638,0.29986510781904196,-0.00857740618768641
1.5913883176990537E-5,4.5E-6,4.5E-6,0.40552571772470525,0.9999999999999978,40976.22478386157,2.4070252210111183E-27,-2.7160374579444053E-17,0.40552571772470525,0.8088413982563327,33143.26694944447,0.33442561718137964,-0.0022939032209240077,0.40552571772470525,0.6168188960996338,25274.90973751201,0.3337178675951792,-0.004598173246804393,0.40552571772470525,0.5208116860944556,21340.896719468416,0.3337063710923541,-0.005750259766866533,0.40552571772470525,0.4248042164072957,17406.873060637565,0.3336864511226927,-0.006902349403112452,0.40552571772470525,0.28519395518877366,11686.17161481376,0.33368661971450286,-0.008577672537734716
1.6254349247039807E-5,4.5E-6,4.5E-6,0.5159492355066576,0.9999999999999978,40976.22478386157,2.4031378276771606E-27,-2.715434829373282E-17,0.5159492355066576,0.8086475525450783,33135.32388400671,0.5358348686599286,-0.0022962293694590618,0.5159492355066576,0.6166217178866045,25266.830118732443,0.5352402271565089,-0.004600539385360746,0.5159492355066576,0.5206143760489792,21332.811698692858,0.5352361737579847,-0.005752627487412251,0.5159492355066576,0.4246066776515488,17398.77866817856,0.5352300511453197,-0.006904719868181416,0.5159492355066576,0.284996411469403,11678.077018964188,0.5352313095646608,-0.008580043062367164
1.6724073119891348E-5,4.5E-6,4.5E-6,0.6963864706856541,0.9999999999999992,40976.22478386164,9.643859014625103E-28,-9.705275439005553E-18,0.6963864706856541,0.8082120589202428,33117.478999343526,0.994155769665212,-0.002301455292957087,0.6963864706856541,0.6161813030967667,25248.783583305907,0.9941377546758621,-0.004605824362838801,0.6963864706856541,0.5201737706544506,21314.757353005676,0.9941479569815588,-0.005757914752146594,0.6963864706856541,0.4241657404775103,17380.710727419595,0.994167902074943,-0.006910011114269877,0.6963864706856541,0.28455546646501584,11660.0087573471,0.9941700820989495,-0.008585334402419813
1.6975298701145767E-5,4.5E-6,4.5E-6,0.8027347925887047,1.0000000000000004,40976.22478386169,0,4.430555662610143E-18,0.8027347925887047,0.8079340045694263,33106.08538176234,1.2767279664514952,-0.0023047919451668836,0.8027347925887047,0.6159005671410085,25237.28008367785,1.276942980504247,-0.004609193194307899,0.8027347925887047,0.5198929332055143,21303.24969457034,1.2769509988795482,-0.005761284801533829,0.8027347925887047,0.4238847262802957,17369.19582650707,1.2769668929674949,-0.006913383284636453,0.8027347925887047,0.28427444813060737,11648.493686907994,1.2769682684546737,-0.008588706622432713
