% Model,FULLCELL_NFMZC_cycle_1C_transition_smoke.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 14:51"
% Dimension,3
% Nodes,11
% Expressions,105
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=1,xPos (1) @ t=1,cPos (mol/m^3) @ t=1,solid.mises (MPa) @ t=1,epsilonChemPos (1) @ t=1,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2,xPos (1) @ t=2,cPos (mol/m^3) @ t=2,solid.mises (MPa) @ t=2,epsilonChemPos (1) @ t=2,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=3,xPos (1) @ t=3,cPos (mol/m^3) @ t=3,solid.mises (MPa) @ t=3,epsilonChemPos (1) @ t=3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=4,xPos (1) @ t=4,cPos (mol/m^3) @ t=4,solid.mises (MPa) @ t=4,epsilonChemPos (1) @ t=4,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=5,xPos (1) @ t=5,cPos (mol/m^3) @ t=5,solid.mises (MPa) @ t=5,epsilonChemPos (1) @ t=5,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=6,xPos (1) @ t=6,cPos (mol/m^3) @ t=6,solid.mises (MPa) @ t=6,epsilonChemPos (1) @ t=6,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=7,xPos (1) @ t=7,cPos (mol/m^3) @ t=7,solid.mises (MPa) @ t=7,epsilonChemPos (1) @ t=7,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=8,xPos (1) @ t=8,cPos (mol/m^3) @ t=8,solid.mises (MPa) @ t=8,epsilonChemPos (1) @ t=8,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9,xPos (1) @ t=9,cPos (mol/m^3) @ t=9,solid.mises (MPa) @ t=9,epsilonChemPos (1) @ t=9,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=10,xPos (1) @ t=10,cPos (mol/m^3) @ t=10,solid.mises (MPa) @ t=10,epsilonChemPos (1) @ t=10,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=11,xPos (1) @ t=11,cPos (mol/m^3) @ t=11,solid.mises (MPa) @ t=11,epsilonChemPos (1) @ t=11,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=12,xPos (1) @ t=12,cPos (mol/m^3) @ t=12,solid.mises (MPa) @ t=12,epsilonChemPos (1) @ t=12,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=13,xPos (1) @ t=13,cPos (mol/m^3) @ t=13,solid.mises (MPa) @ t=13,epsilonChemPos (1) @ t=13,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=14,xPos (1) @ t=14,cPos (mol/m^3) @ t=14,solid.mises (MPa) @ t=14,epsilonChemPos (1) @ t=14,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=15,xPos (1) @ t=15,cPos (mol/m^3) @ t=15,solid.mises (MPa) @ t=15,epsilonChemPos (1) @ t=15,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=16,xPos (1) @ t=16,cPos (mol/m^3) @ t=16,solid.mises (MPa) @ t=16,epsilonChemPos (1) @ t=16,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=17,xPos (1) @ t=17,cPos (mol/m^3) @ t=17,solid.mises (MPa) @ t=17,epsilonChemPos (1) @ t=17,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=18,xPos (1) @ t=18,cPos (mol/m^3) @ t=18,solid.mises (MPa) @ t=18,epsilonChemPos (1) @ t=18,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=19,xPos (1) @ t=19,cPos (mol/m^3) @ t=19,solid.mises (MPa) @ t=19,epsilonChemPos (1) @ t=19,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=20,xPos (1) @ t=20,cPos (mol/m^3) @ t=20,solid.mises (MPa) @ t=20,epsilonChemPos (1) @ t=20
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,0.28271768867951447,11560.341890215062,0.41323065305398843,-0.005738258490563883,0.6851795433059145,0.28260311564559365,11555.656992536002,0.25313810322167185,-0.005739175074835252,0.6851795433059145,0.2826315384307393,11556.81920178895,0.09762366761704025,-0.0057389476925540864,0.6851795433059145,0.2826915767852278,11559.274173416852,0.020841303877007965,-0.005738467385718177,0.6851795433059145,0.2827717679584858,11562.553194916249,0.053085837753909224,-0.005737825856332113,0.6851795433059145,0.2828716415308235,11566.63703080007,0.09354328790063635,-0.005737026867753413,0.6851795433059145,0.28299045917161897,11571.495490688449,0.12718004050194398,-0.005736076326627048,0.6851795433059145,0.2831277263835662,11577.108354559252,0.15671070685625133,-0.005734978188931471,0.6851795433059145,0.2832834448928732,11583.475692997225,0.18401165489922422,-0.005733732440857014,0.6851795433059145,0.2834500370453814,11590.287655305692,0.21039162218159574,-0.005732399703636948,0.6851795433059145,0.28363494754133173,11597.848655688294,0.23596866933858693,-0.005730920419669347,0.6851795433059145,0.28383033341353436,11605.837994783878,0.2560772015318205,-0.005729357332691726,0.6851795433059145,0.2840304533907918,11614.020911696378,0.2681659277117223,-0.005727756372873666,0.6851795433059145,0.2842320689470125,11622.264982915205,0.2736486592126845,-0.0057261434484239,0.6851795433059145,0.2844339229225321,11630.518803112329,0.2754816359788166,-0.005724528616619743,0.6851795433059145,0.28463581878307653,11638.774335990423,0.27584608354656487,-0.005722913449735387,0.6851795433059145,0.28483774364769276,11647.031054846615,0.27578155478962285,-0.005721298050818458,0.6851795433059145,0.28503971705855,11655.28975876128,0.2756625723178235,-0.0057196822635315996,0.6851795433059145,0.28524168455433313,11663.548220808236,0.2755700268416603,-0.005718066523565335,0.6851795433059145,0.28544364794920707,11671.806515168792,0.2755176759122042,-0.005716450816406343,0.6851795433059145,0.285645609295429,11680.064725759856,0.27549356388098917,-0.0057148351256365686
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,0.282119075733734,11535.864573831172,0.8749048604007097,-0.005743047394130128,0.9999999999999994,0.28252829531979884,11552.597585285734,0.165756053929164,-0.005739773637441609,0.9999999999999994,0.28266031012826454,11557.995678088355,0.01962464980155202,-0.005738717518973884,0.9999999999999994,0.2827839523447713,11563.051415143786,0.11680517504306441,-0.00573772838124183,0.9999999999999994,0.2829144530849852,11568.387597612045,0.1964524249220426,-0.0057366843753201184,0.9999999999999994,0.28305765584481674,11574.243166363358,0.26324914702197594,-0.005735538753241466,0.9999999999999994,0.28321619735172554,11580.725937329038,0.32327632980945603,-0.005734270421186196,0.9999999999999994,0.28339130349902175,11587.88603735418,0.3797407656150866,-0.005732869572007826,0.9999999999999994,0.2835838677415772,11595.759999857793,0.43432297422432775,-0.005731329058067383,0.9999999999999994,0.2837868970897524,11604.061881107658,0.4881308203999243,-0.005729704823281981,0.9999999999999994,0.2840078915105497,11613.098355168335,0.5412684170053104,-0.0057279368679156025,0.9999999999999994,0.2842194414096453,11621.748642215487,0.5674918095326745,-0.005726244468722838,0.9999999999999994,0.2844249309250952,11630.151119840963,0.5777440148952265,-0.005724600552599238,0.9999999999999994,0.2846283828481857,11638.470280202428,0.5816217307349475,-0.005722972937214514,0.9999999999999994,0.2848309164624878,11646.751890866866,0.5829682843748901,-0.005721352668300097,0.9999999999999994,0.2850329912820893,11655.01474139068,0.5832808545156916,-0.005719736069743286,0.9999999999999994,0.2852349176842763,11663.271523118223,0.583265568195023,-0.00571812065852579,0.9999999999999994,0.2854368329720347,11671.527850376171,0.5831687001041134,-0.005716505336223723,0.9999999999999994,0.2856387595973363,11679.784641226883,0.5830923465204163,-0.005714889923221309,0.9999999999999994,0.2858406998896538,11688.041990922631,0.5830486389216956,-0.005713274400882769,0.9999999999999994,0.28604265024136644,11696.299751947601,0.5830281629522985,-0.005711658798069069
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,0.2829529289016465,11569.960875878387,0.23351086167874816,-0.005736376568786828,0.4956512155023368,0.2827379238797147,11561.169308667811,0.17316166345248135,-0.005738096608962283,0.4956512155023368,0.28268118829761046,11558.849387584947,0.07705168590141752,-0.005738550493619116,0.4956512155023368,0.28269382890721095,11559.36626280901,0.022037279676170196,-0.005738449368742313,0.4956512155023368,0.2827418585725413,11561.330198474603,0.02139184309199727,-0.005738065131419669,0.4956512155023368,0.28281807640125345,11564.446749696273,0.04623761173157928,-0.005737455388789973,0.4956512155023368,0.28291777257480405,11568.523331733904,0.06686267312119099,-0.0057366578194015675,0.4956512155023368,0.2830383193638078,11573.452496587932,0.08441658911384405,-0.005735693445089537,0.4956512155023368,0.2831785883997486,11579.188105207471,0.10030240155925818,-0.005734571292802012,0.4956512155023368,0.2833302537256284,11585.389708751452,0.11549929029707945,-0.005733357970194973,0.4956512155023368,0.2835006890595788,11592.358818961155,0.13009738222391237,-0.00573199448752337,0.4956512155023368,0.2836851318876169,11599.900696377023,0.1419718970593651,-0.005730518944899065,0.4956512155023368,0.28387867361296465,11607.814628205952,0.14989356178312324,-0.005728970611096283,0.4956512155023368,0.2840772142667988,11615.932966496524,0.15406579381099023,-0.005727382285865609,0.4956512155023368,0.28427802639649946,11624.144185560624,0.15565575658317113,-0.005725775788828004,0.4956512155023368,0.28447972305468683,11632.391573043345,0.15599174988794073,-0.005724162215562507,0.4956512155023368,0.28468169055370435,11640.650035222558,0.15592417720407925,-0.005722546475570365,0.4956512155023368,0.28488372466047995,11648.911220996673,0.15582379903653182,-0.00572093020271616,0.4956512155023368,0.28508574173406326,11657.171710282615,0.15575621217784882,-0.005719314066127494,0.4956512155023368,0.285287734152488,11665.431191417767,0.15571888643217796,-0.005717698126780095,0.4956512155023368,0.28548970896180015,11673.689952515328,0.15570152665710177,-0.005716082328305599
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,0.28298289027919654,11571.185998259649,0.2098451992626145,-0.0057361368777664274,0.4715119346672853,0.28275509373426916,11561.871384967959,0.1641623899352676,-0.005737959250125847,0.4715119346672853,0.28268751195430974,11559.107962256317,0.07514936324281943,-0.005738499904365523,0.4715119346672853,0.28269411574879105,11559.377991777048,0.022979319409679243,-0.005738447074009672,0.4715119346672853,0.282738049162754,11561.174431498199,0.01697592805517044,-0.005738095606697968,0.4715119346672853,0.2828112540770096,11564.167784481497,0.039852689457453655,-0.005737509967383923,0.4715119346672853,0.28290851484434343,11568.144782624535,0.05876456546536942,-0.005736731881245254,0.4715119346672853,0.28302693203620566,11572.98686813394,0.07474274854884233,-0.005735784543710354,0.4715119346672853,0.283165233349534,11578.642016467276,0.08912628607375203,-0.0057346781332037276,0.4715119346672853,0.2833149975197177,11584.765881649944,0.10285116588618029,-0.005733480019842259,0.4715119346672853,0.2834835892242503,11591.65960575102,0.11600354140845978,-0.005732131286205998,0.4715119346672853,0.2836666382911587,11599.144492197389,0.126888482091509,-0.005730666893670732,0.4715119346672853,0.28385934217726577,11607.024164733535,0.13432041243593046,-0.005729125262581874,0.4715119346672853,0.2840574911960705,11615.126489046143,0.13832542579714102,-0.0057275400704314364,0.4715119346672853,0.2842581706310489,11623.332282215726,0.13987768425425479,-0.005725934634951608,0.4715119346672853,0.2844598419178224,11631.578632259934,0.14020836680418713,-0.005724321264657421,0.4715119346672853,0.2846618148469716,11639.837316477531,0.14014107528534403,-0.005722705481224227,0.4715119346672853,0.28486385668428454,11648.098818353748,0.14004294827851724,-0.005721089146525724,0.4715119346672853,0.28506588007234585,11656.359565839042,0.13997839781574584,-0.005719472959421233,0.4715119346672853,0.285267876187356,11664.619198127773,0.1399429190262927,-0.005717856990501153,0.4715119346672853,0.2854698527113949,11672.878029340609,0.13992639620762,-0.005716241178308841
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,0.28298480250122654,11571.26418912397,0.2085272978357403,-0.005736121579990188,0.47002321018730503,0.2827561368417799,11561.914037691633,0.15362359369506645,-0.005737950905265761,0.47002321018730503,0.28268788061625477,11559.123036863592,0.06871809245300124,-0.005738496955069962,0.47002321018730503,0.28269411234925346,11559.377852769769,0.019646376687078707,-0.005738447101205972,0.47002321018730503,0.2827377922276164,11561.163925406245,0.01951841292852382,-0.0057380976621790696,0.47002321018730503,0.28281080925065255,11564.149595507211,0.04165063531227939,-0.00573751352599478,0.47002321018730503,0.28290791697952944,11568.120335899304,0.05999686471677072,-0.005736736664163765,0.47002321018730503,0.28302619955549885,11572.956916957419,0.0756441074293552,-0.005735790403556009,0.47002321018730503,0.2831643759954948,11578.606959213306,0.08981715997116635,-0.005734684992036041,0.47002321018730503,0.2833140192979474,11584.725882107776,0.10338058547251412,-0.005733487845616421,0.47002321018730503,0.2834824935943988,11591.614805385934,0.11641341154302526,-0.005732140051244809,0.47002321018730503,0.28366545409332833,11599.096070282763,0.12689196835890448,-0.005730676367253374,0.47002321018730503,0.2838581062132842,11606.97362609813,0.1338878325160236,-0.005729135150293725,0.47002321018730503,0.2840562320809664,11615.075003760061,0.13760019229510045,-0.005727550143352268,0.47002321018730503,0.2842569039035901,11623.28048566004,0.13901919254837553,-0.005725944768771279,0.47002321018730503,0.28445857371668637,11631.5267754455,0.13931687032092388,-0.005724331410266509,0.47002321018730503,0.2846605469190512,11639.785470834904,0.1392543120452014,-0.0057227156246475895,0.47002321018730503,0.28486258923032304,11648.046992091326,0.13916505703460824,-0.005721099286157415,0.47002321018730503,0.2850646130073603,11656.30775548187,0.13910485502781764,-0.005719483095941117,0.47002321018730503,0.2852666093464666,11664.567396933904,0.13907172843782728,-0.005717867125228268,0.47002321018730503,0.2854685859737827,11672.826232369749,0.1390563650864889,-0.005716251312209738
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,0.2830965615895661,11575.834024412943,0.11428239646143265,-0.005735227507283471,0.3654522618306715,0.2828294936287581,11564.913600758933,0.09107993942772848,-0.005737364050969937,0.3654522618306715,0.2827178538717061,11560.348644932896,0.04356138738194651,-0.00573825716902635,0.3654522618306715,0.28269923408731823,11559.587280921853,0.014470175635500123,-0.005738406127301454,0.3654522618306715,0.28272625020043946,11560.691971278104,0.008781011101308835,-0.005738189998396485,0.3654522618306715,0.28278727589975694,11563.18731549054,0.021381715332775802,-0.005737701792801945,0.3654522618306715,0.28287490792689185,11566.770593915542,0.03171286157566249,-0.005737000736584865,0.3654522618306715,0.28298505122946854,11571.27435963551,0.04044966388947715,-0.005736119590164252,0.3654522618306715,0.2831157962510293,11576.620530781525,0.048304986061140455,-0.005735073629991766,0.3654522618306715,0.28325829909909617,11582.447480102157,0.055794839171316855,-0.0057339336072072325,0.3654522618306715,0.28341988406374413,11589.054698222728,0.0629656149715187,-0.005732640927490047,0.3654522618306715,0.28359744315403274,11596.315099222182,0.06900094666226908,-0.005731220454767739,0.3654522618306715,0.28378664673129733,11604.051643936615,0.07311484781965036,-0.005729706826149622,0.3654522618306715,0.28398304112245765,11612.082221428029,0.07532291243466904,-0.005728135671020339,0.3654522618306715,0.2841830888597152,11620.262184442945,0.07619441193795887,-0.0057265352891222795,0.3654522618306715,0.28438463642309014,11628.503475430562,0.07639105098337949,-0.005724922908615279,0.3654522618306715,0.2845866391155123,11636.763376670031,0.0763584875687536,-0.0057233068870759015,0.3654522618306715,0.2847887193568814,11645.026448890221,0.07629730514718563,-0.005721690245144948,0.3654522618306715,0.2849907708700191,11653.288346411446,0.07625833168154927,-0.005720073833039847,0.3654522618306715,0.2851927830001027,11661.548633557411,0.07623852619528484,-0.005718457735999178,0.3654522618306715,0.285394766950913,11669.807768451337,0.07622951354257737,-0.005716841864392697
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,0.2830737648281609,11574.901863581179,0.13465872601822454,-0.005735409881374713,0.38783832910806787,0.2828137898349634,11564.271471764147,0.10453375644540705,-0.005737489681320294,0.38783832910806787,0.28271124145077187,11560.078262676025,0.04921306612008512,-0.005738310068393825,0.38783832910806787,0.2826978782412452,11559.531840301112,0.016197952514899742,-0.005738416974070039,0.38783832910806787,0.28272840463306803,11560.780066147167,0.012347054617454629,-0.005738172762935456,0.38783832910806787,0.2827919368535692,11563.37790214911,0.026268247826390607,-0.005737664505171447,0.38783832910806787,0.28288153321116677,11567.041502155123,0.03813909904032983,-0.005736947734310666,0.38783832910806787,0.28299335248428786,11571.613798403128,0.04829405874314735,-0.005736053180125698,0.38783832910806787,0.2831256207046373,11577.022253231662,0.05747973108642816,-0.005734995034362901,0.38783832910806787,0.2832695839621583,11582.908918775456,0.06626175709571265,-0.005733843328302735,0.38783832910806787,0.2834325751646209,11589.573638037862,0.07468922307206112,-0.005732539398683034,0.38783832910806787,0.2836112375827605,11596.879154174025,0.08164362453872825,-0.0057311100993379166,0.38783832910806787,0.2838011662285298,11604.645346979623,0.08632758396254978,-0.0057295906701717615,0.38783832910806787,0.28399793894373726,11612.6913941622,0.08881680628522151,-0.005728016488450102,0.38783832910806787,0.28419812569678304,11620.877041540367,0.0897829060825381,-0.005726414994425736,0.38783832910806787,0.28439969993839515,11629.119423402573,0.08999448918842318,-0.0057248024004928405,0.38783832910806787,0.2846016953263996,11637.379025964,0.08995589734383933,-0.005723186437388803,0.38783832910806787,0.2848037674265841,11645.641765290704,0.08989053934966403,-0.005721569860587327,0.38783832910806787,0.28500581304588224,11653.903421812502,0.08984787821974434,-0.0057199534956329425,0.38783832910806787,0.28520782178484516,11662.163570295357,0.08982552413682578,-0.00571833742572124,0.38783832910806787,0.2854098041597348,11670.422640749804,0.08981527958372912,-0.005716721566722122
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,0.28306779619355693,11574.65780578288,0.14142924578758048,-0.005735457630451545,0.3936994360180811,0.2828096782769491,11564.103349930068,0.11301825455319983,-0.005737522573784407,0.3936994360180811,0.28270951019062907,11560.00747135326,0.0537316330619581,-0.005738323918474966,0.3936994360180811,0.2826975232544273,11559.517324870538,0.018300514160762543,-0.005738419813964582,0.3936994360180811,0.28272896870534614,11560.80313109374,0.012901080314981953,-0.0057381682503572316,0.3936994360180811,0.28279315718174286,11563.427801435468,0.027064714260864625,-0.005737654742546058,0.3936994360180811,0.2828832678391817,11567.11243119037,0.039609177940503296,-0.005736933857286546,0.3936994360180811,0.2829955259139207,11571.702670060744,0.05033443200011707,-0.005736035792688634,0.3936994360180811,0.2831281929372772,11577.127431966239,0.06001576631493981,-0.005734974456501783,0.3936994360180811,0.2832725385583386,11583.029732376304,0.06926133003901905,-0.005733819691533292,0.3936994360180811,0.28343589794115515,11589.709506553696,0.07812335321923766,-0.0057325128164707586,0.3936994360180811,0.28361484923194097,11597.0268347083,0.08549847393599996,-0.005731081206144472,0.3936994360180811,0.2838049677147178,11604.800789959614,0.09052716387976137,-0.005729560258282257,0.3936994360180811,0.2840018394825038,11612.850887407592,0.0932336146380472,-0.00572798528413997,0.3936994360180811,0.28420206263258113,11621.038023062387,0.09429324549294246,-0.005726383498939351,0.3936994360180811,0.2844036438590735,11629.280690536732,0.09452562797256697,-0.005724770849127413,0.3936994360180811,0.2846056373346396,11637.540214898454,0.09448251571927323,-0.005723154901322883,0.3936994360180811,0.284807707303304,11645.80286706718,0.09441143495040699,-0.005721538341573568,0.3936994360180811,0.2850097513794806,11654.06446049065,0.09436563964362539,-0.005719921988964156,0.3936994360180811,0.2852117592305823,11662.324572668811,0.09434148715951932,-0.005718305926155342,0.3936994360180811,0.28541374119286544,11670.583626251753,0.09433036713163648,-0.005716690070457077
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,0.2831762550801079,11579.092695638612,0.0676245975804202,-0.005734589959359138,0.22341925950609215,0.28289866058200197,11567.741841293642,0.05059805500762769,-0.005736810715343985,0.22341925950609215,0.28275259805316577,11561.769336429932,0.023877194162963078,-0.005737979215574674,0.22341925950609215,0.28271157843375966,11560.092041928987,0.00761950466457845,-0.005738307372529923,0.22341925950609215,0.2827237834260406,11560.591104736819,0.005779950683675796,-0.005738209732591677,0.22341925950609215,0.2827746331863111,11562.670354240123,0.013257083171283773,-0.0057378029345095125,0.22341925950609215,0.2828546590442647,11565.942615987604,0.019284693431495407,-0.005737162727645882,0.22341925950609215,0.2829585752248138,11570.19175434426,0.02440445340860787,-0.00573633139820149,0.22341925950609215,0.28308382576558855,11575.313255867748,0.029026325372378734,-0.005735329393875292,0.22341925950609215,0.28322113515167935,11580.927844241613,0.033441952254251,-0.005734230918786566,0.22341925950609215,0.28337778606568137,11587.33330875901,0.037677523903247245,-0.00573297771147455,0.22341925950609215,0.28355101503589,11594.416650909461,0.04104880390084045,-0.00573159187971288,0.22341925950609215,0.2837371176278717,11602.026396164569,0.043330646200016594,-0.005730103058977026,0.22341925950609215,0.28393176041525353,11609.985350480827,0.04458377754655997,-0.005728545916677973,0.22341925950609215,0.2841310840436514,11618.135704644517,0.04508546582026057,-0.005726951327650789,0.22341925950609215,0.2843324627131387,11626.370089551749,0.04519804872201154,-0.005725340298294889,0.22341925950609215,0.2845344935265838,11634.631140661397,0.04517873326060202,-0.005723724051787331,0.22341925950609215,0.2847366284071108,11642.896447079767,0.04514554487661428,-0.005722106972743115,0.22341925950609215,0.28493871257403613,11651.159679816172,0.04512431838649821,-0.005720490299407711,0.22341925950609215,0.2851407403919405,11659.420608437993,0.04511326149445934,-0.005718874076864477,0.22341925950609215,0.28534273132437427,11667.68002881089,0.04510812443778867,-0.005717258149405006
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,0.2831822638900292,11579.338396207857,0.07495088078193175,-0.005734541888879766,0.19158661697344484,0.2829076705571886,11568.110259676185,0.04678356597856195,-0.005736738635542492,0.19158661697344484,0.28275823535220623,11561.999845898756,0.02059041340702713,-0.005737934117182351,0.19158661697344484,0.28271450152449784,11560.211567270568,0.005836386441463868,-0.005738283987804017,0.19158661697344484,0.28272496486638865,11560.639413897843,0.008881103126154706,-0.005738200281068891,0.19158661697344484,0.28277471361794515,11562.673643094078,0.016613155703574453,-0.0057378022910564395,0.19158661697344484,0.282854002475418,11565.915768851231,0.022952992104634973,-0.005737167980196655,0.19158661697344484,0.28295737762137063,11570.142784273385,0.0284421762376086,-0.005736340979029035,0.19158661697344484,0.28308219078771396,11575.24640153224,0.03346635869384976,-0.005735342473698287,0.19158661697344484,0.2832191052230598,11580.84484034835,0.038297984799979604,-0.005734247158215521,0.19158661697344484,0.2833753973120205,11587.23563249001,0.04296124661338355,-0.005732996821503836,0.19158661697344484,0.28354812241969546,11594.298371673656,0.04618656435630916,-0.0057316150206424355,0.19158661697344484,0.28373383092813925,11601.892002831151,0.048284523642717264,-0.005730129352574885,0.19158661697344484,0.28392825424844426,11609.841983126531,0.04947658794264913,-0.005728573966012445,0.19158661697344484,0.28412747818697076,11617.988260965878,0.04996062102922472,-0.005726980174504234,0.19158661697344484,0.28432882843873375,11626.221483870793,0.05006477662563536,-0.005725369372490129,0.19158661697344484,0.2845308615633595,11634.482629484748,0.050043124645546354,-0.005723753107493124,0.19158661697344484,0.28473300832417064,11642.748421688593,0.050015237476650765,-0.005722135933406635,0.19158661697344484,0.28493509853071985,11651.011901385546,0.04999702467444705,-0.005720519211754242,0.19158661697344484,0.28513712845805156,11659.27291626197,0.04998668431369695,-0.005718902972335588,0.19158661697344484,0.28533912020025975,11667.532369746588,0.04998172906902994,-0.005717287038397922
