case,element_count,final_average_xNa,maximum_concentration_delta_xNa,maximum_average_stress_Pa,stress_p95_Pa,maximum_stress_Pa,average_xNa_change,concentration_delta_change,average_stress_change,stress_p95_change,maximum_stress_change,converged
FULLCELL_NFMZC_charge_1C_mesh_normal,7130,0.28256033904885197,0.0011426634210190967,518112.98965683806,890176.420432382,964928.6014366229,NaN,NaN,NaN,NaN,NaN,false
FULLCELL_NFMZC_charge_1C_mesh_fine,13372,0.28261572790976813,0.0011425833385716455,517227.1041366184,869985.2529731122,890968.6617402382,1.9602489543511285E-4,7.00840212245056E-5,0.001709830747162767,0.022682208824923143,0.07664809560652498,true
FULLCELL_NFMZC_charge_1C_mesh_extra_fine,21745,0.2817205302248989,0.0011425737745389686,517156.37217205355,866067.5353980284,878554.8806249218,0.00316754375805668,8.370533994387023E-6,1.3675223900513369E-4,0.004503199981488423,0.013932904319069836,true
