case,maximum_von_mises_Pa,maximum_average_stress_Pa,stress_p95_Pa,final_average_xNa,maximum_concentration_delta_xNa,mass_balance_relative_error,element_count,quantitative_ready,mph,metrics
FULLCELL_NFM_cycle_1C_actual_nfm,2236967.121765328,1201152.9633822232,2063735.4769537044,0.8893182825591602,0.0019426531731797647,2.400695703365768E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_actual_nfm.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_actual_nfm_discharge_metrics.csv
FULLCELL_NFMZC_cycle_1C_actual_nfmzc,964928.6008944168,518112.9896578135,890176.4209341451,0.8890887707493704,0.0011426634210194297,2.4058520407478436E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_cycle_1C_actual_nfmzc.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_cycle_1C_actual_nfmzc_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_diffusion,1313053.4115969941,705031.6670131957,1211327.5170762828,0.8892813576161882,0.0011402584581839958,2.4006969153848753E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_diffusion.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_diffusion_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_strain_only,1491311.4145325674,800768.6422532961,1375823.6512772266,0.8893182827310203,0.0019426531731747687,2.4007165766172064E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_strain_only.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_strain_only_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_modulus_only,2460663.8339738725,1321268.2597163764,2270109.0246131504,0.8893182827312033,0.0019426531731727703,2.400716576599237E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_modulus_only.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_modulus_only_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_positive_kinetics,2236967.121789298,1201152.9633810765,2063735.4769187581,0.8893182827310352,0.0019426531731753238,2.4007165766052268E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_positive_kinetics.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_positive_kinetics_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_mechanics,1640442.5559794817,880845.5064833612,1513406.016402784,0.8893182827310974,0.0019426531731840946,2.4007165766052268E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_mechanics.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_mechanics_discharge_metrics.csv
FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_all_configured_differences,962905.835173123,517023.2224777385,888306.8458547114,0.8892813576174358,0.0011402584581861053,2.400696915369901E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_all_configured_differences.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_cycle_1C_nfm_with_nfmzc_all_configured_differences_discharge_metrics.csv
