case,element_count,final_average_xNa,maximum_concentration_delta_xNa,maximum_average_stress_Pa,stress_p95_Pa,maximum_stress_Pa,average_xNa_change,concentration_delta_change,average_stress_change,stress_p95_change,maximum_stress_change,converged
FULLCELL_NFM_charge_1C_mesh_normal,7130,0.28410034687369173,0.0019426531731795427,1201152.963382624,2063735.4769530583,2236967.121754348,NaN,NaN,NaN,NaN,NaN,false
FULLCELL_NFM_charge_1C_mesh_fine,13372,0.28434862435705677,0.001942528120192133,1199110.348268533,2016904.413313326,2065071.3991036543,8.739077093609302E-4,6.43722663088901E-5,0.0017005453729547412,0.022692377081618358,0.07684320479233678,true
FULLCELL_NFM_charge_1C_mesh_extra_fine,21745,0.28449621356192056,0.0019425125947372113,1198946.399750821,2008020.0476748229,2036970.16851421,5.190431471139042E-4,7.992396485944573E-6,1.3672512955006033E-4,0.00440495126088205,0.01360787360748962,true
