target_voltage_V,actual_voltage_V,solution_level,absolute_error_V
4.3,4.266112642311325,1,0.033887357688675124
3.5,3.3660895548025813,3,0.13391044519741868
3.3,3.3660895548025813,3,0.0660895548025815
3.0,2.946157212216237,5,0.05384278778376306
2.6,2.946157212216237,5,0.34615721221623685
