% Model,FULLCELL_NFMZC_charge_1C_diffusion_low.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:41"
% Dimension,3
% Nodes,11
% Expressions,30
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=951.33,xPos (1) @ t=951.33,cPos (mol/m^3) @ t=951.33,solid.mises (MPa) @ t=951.33,epsilonChemPos (1) @ t=951.33,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=1902.7,xPos (1) @ t=1902.7,cPos (mol/m^3) @ t=1902.7,solid.mises (MPa) @ t=1902.7,epsilonChemPos (1) @ t=1902.7,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2378.3,xPos (1) @ t=2378.3,cPos (mol/m^3) @ t=2378.3,solid.mises (MPa) @ t=2378.3,epsilonChemPos (1) @ t=2378.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2854,xPos (1) @ t=2854,cPos (mol/m^3) @ t=2854,solid.mises (MPa) @ t=2854,epsilonChemPos (1) @ t=2854,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=3552.4,xPos (1) @ t=3552.4,cPos (mol/m^3) @ t=3552.4,solid.mises (MPa) @ t=3552.4,epsilonChemPos (1) @ t=3552.4
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.6851795433059145,0.8080314207111291,33040.44937933065,0.589691553736058,-0.0015357486343109672,0.6851795433059145,0.6159611249957948,25186.68438926314,0.5903628609740468,-0.0030723110000336414,0.6851795433059145,0.5198957798412999,21258.567125095837,0.5903671742394456,-0.003840833761269602,0.6851795433059145,0.42383098692457744,17330.472441961527,0.5903666707002124,-0.00460935210460338,0.6851795433059145,0.2827833637074265,11563.027345730276,0.5903595799432872,-0.005737733090340588
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,1.0000000000000007,40890.055179107454,0,5.3290705182007515E-18,0.9999999999999994,0.8071410366276525,33004.04152502668,1.2527406304957025,-0.0015428717069787803,0.9999999999999994,0.6151033760949679,25151.610989378507,1.2503224559667216,-0.003079172991240257,0.9999999999999994,0.5190377311131933,21223.4814652572,1.2503750074946731,-0.003847698151094454,0.9999999999999994,0.42297292673911163,17295.38631363084,1.2503757033257823,-0.004616216586087108,0.9999999999999994,0.28192553281040417,11527.950593016689,1.2503317420295639,-0.005744595737516766
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.4956512155023368,0.8083854894200481,33054.92726837553,0.332394573682216,-0.0015329160846396148,0.4956512155023368,0.6162984336417034,25200.476958406733,0.3335694475313289,-0.003069612530866372,0.4956512155023368,0.5202332422111771,21272.36598002099,0.3335681287533201,-0.0038381340623105838,0.4956512155023368,0.42416845061703723,17344.271350967156,0.333567932774413,-0.004606652395063703,0.4956512155023368,0.28312068252877604,11576.820330948209,0.3335671741476402,-0.005735034539769792
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,1.0000000000000007,40890.05517910746,0,5.329070518200752E-18,0.4715119346672853,0.808430585391181,33056.77124512351,0.298447843936124,-0.0015325553168705516,0.4715119346672853,0.6163413949669367,25202.23364936609,0.29975303164255707,-0.0030692688402645064,0.4715119346672853,0.5202762231154678,21274.123471569088,0.2997509845957272,-0.003837790215076257,0.4715119346672853,0.42421143168977876,17346.028849403217,0.2997508214611059,-0.00460630854648177,0.4715119346672853,0.28316364515000453,11578.577074900884,0.29975089239376923,-0.005734690838799963
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.47002321018730503,0.8084334724974279,33056.889299057264,0.29663281340738873,-0.0015325322200205758,0.47002321018730503,0.6163441375533264,25202.345793874898,0.2978727302373567,-0.003069246899573389,0.47002321018730503,0.5202789670303531,21274.235670400158,0.29786959774906496,-0.003837768263757174,0.47002321018730503,0.42421417561788916,17346.141048775058,0.2978694725934233,-0.004606286595056888,0.47002321018730503,0.2831663878393487,11578.689223619507,0.29787097357171777,-0.00573466889728521
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,1.0000000000000004,40890.05517910745,0,2.8719136349460036E-18,0.3654522618306715,0.8086064415338443,33063.962012500604,0.16221393873414142,-0.0015311484677292448,0.3654522618306715,0.6165047132243925,25208.911741925207,0.16322661302328828,-0.0030679622942048606,0.3654522618306715,0.5204396560417983,21280.80625294483,0.16322177788187742,-0.003836482751665614,0.3654522618306715,0.42437486536431246,17352.71166137302,0.16322158501826578,-0.004605001077085501,0.3654522618306715,0.2833269694197984,11585.25541330484,0.1632247889285599,-0.005733384244641612
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,1.0000000000000004,40890.055179107454,0,3.220228750230574E-18,0.38783832910806787,0.8085707790378371,33062.50377107104,0.19125854705278003,-0.0015314337676973033,0.38783832910806787,0.6164719307363027,25207.571264178307,0.19233547063202683,-0.003068224554109579,0.38783832910806787,0.520406846874129,21279.46468426844,0.19233068479869464,-0.0038367452250069687,0.38783832910806787,0.424342056064048,17351.37008727482,0.19233044205311445,-0.004605263551487617,0.38783832910806787,0.2832941858858701,11583.914892793544,0.1923333599962131,-0.0057336465129130395
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,1.0000000000000004,40890.05517910745,0,3.3114244079474546E-18,0.3936994360180811,0.8085614419042,33062.121975161404,0.20086119332023003,-0.0015315084647663996,0.3936994360180811,0.6164633476446373,25207.220301086498,0.20199958641974403,-0.0030682932188429027,0.3936994360180811,0.5203982567972317,21279.113435550124,0.20199389099245016,-0.003836813945622146,0.3936994360180811,0.4243334659524348,17351.018837136962,0.201993764737078,-0.004605332272380522,0.3936994360180811,0.2832856025203838,11583.56391850519,0.20199823114437215,-0.005733715179836929
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,1.0000000000000004,40890.055179107454,0,3.826176799789817E-18,0.22341925950609215,0.808740524921718,33069.44468962936,0.09641564965545202,-0.0015300758006262564,0.22341925950609215,0.6166200095425594,25213.626214737,0.09658688890471671,-0.0030670399236595257,0.22341925950609215,0.5205551324816267,21285.52809094129,0.09658284596318466,-0.003835558940146988,0.22341925950609215,0.4244903432528046,17357.433558605437,0.0965820060021143,-0.004604077253977563,0.22341925950609215,0.2834422754503806,11589.970283257828,0.0965836297650367,-0.0057324617963969565
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.19158661697344484,0.8087564118363353,33070.094306444684,0.10710510855572296,-0.001529948705309317,0.19158661697344484,0.6166291096230636,25213.99831753095,0.10706348205527327,-0.0030669671230154913,0.19158661697344484,0.5205642966225683,21285.90281317007,0.10706086468969198,-0.003835485627019453,0.19158661697344484,0.42449950788841595,17357.808301061275,0.10706039974459373,-0.004604003936892672,0.19158661697344484,0.28345137921786934,11590.342536812783,0.10706205745646409,-0.005732388966257045
