target_desodiation_fraction,target_average_xNa,actual_average_xNa,solution_level,absolute_xNa_error
0.0,1.0,0.8890887724310064,6,0.11091122756899363
0.25,0.8,0.7621850577588757,4,0.03781494224112436
0.5,0.6,0.666120269097687,3,0.06612026909768698
0.75,0.3999999999999999,0.4739906917753286,2,0.07399069177532869
1.0,0.19999999999999996,0.28256033945278136,1,0.0825603394527814
