max_step_fraction,final_average_xNa,maximum_concentration_delta_xNa,maximum_average_stress_Pa,stress_p95_Pa,maximum_stress_Pa,average_xNa_change,concentration_delta_change,average_stress_change,stress_p95_change,maximum_stress_change,converged
0.04,0.2826539465296214,0.001942659456429796,1201152.8867863268,2063789.8636203404,2237244.5138815553,NaN,NaN,NaN,NaN,NaN,false
0.02,0.2841003490069333,0.0019426531731756569,1201152.963381373,2063735.4769185253,2236967.1217927453,0.005117220173539471,3.2343569627755606E-6,6.37679409234779E-8,2.63528292166611E-5,1.2398827534890883E-4,true
0.01,0.28363658285915017,0.0019426591370812485,1201151.928786142,2063787.9509929568,2237224.760412328,0.0016324025978997766,3.069979589743354E-6,8.613351193402073E-7,2.542674437608355E-5,1.1517318116689987E-4,true
