% Model,FULLCELL_NFM_charge_0.1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 02:07"
% Dimension,3
% Nodes,11
% Expressions,15
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9533.3,xPos (1) @ t=9533.3,cPos (mol/m^3) @ t=9533.3,solid.mises (MPa) @ t=9533.3,epsilonChemPos (1) @ t=9533.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=10615,xPos (1) @ t=10615,cPos (mol/m^3) @ t=10615,solid.mises (MPa) @ t=10615,epsilonChemPos (1) @ t=10615
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,0.9999999999999979,40976.22478386158,2.249399914756955E-27,-2.4791314180251316E-17,0.19158661697344484,0.29591244782711096,12125.374978506436,0.06370104710803318,-0.008449050626074667,0.19158661697344484,0.21596109995532584,8849.27057633945,0.06370066256360687,-0.00940846680053609
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,0.999999999999999,40976.224783861624,1.5162951353536231E-27,-1.313506199432581E-17,0.22341925950609215,0.2959083491723487,12125.207031107586,0.05746091925533683,-0.008449099809931818,0.22341925950609215,0.21595700032823992,8849.102589098447,0.05745966430980632,-0.009408515996061122
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,0.9999999999999989,40976.224783861624,0,-1.3561257465180039E-17,0.3654522618306715,0.2958576807147926,12123.130829001318,0.09710984514108525,-0.008449707831422489,0.3654522618306715,0.21590632995114684,8847.026308336797,0.09710751559388961,-0.009409124040586239
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,0.9999999999999979,40976.22478386158,2.236731254521253E-27,-2.536521698232306E-17,0.19142219510953803,0.29591234675694766,12125.370837032708,0.06332985761850377,-0.008449051838916628,0.19142219510953803,0.2159609991755345,8849.266446764066,0.06333026287301206,-0.009408468009893586
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,0.9999999999999988,40976.224783861624,0,-1.5415680850892515E-17,0.38783832910806787,0.2958433229303153,12122.542501197177,0.11443078634108497,-0.008449880124836218,0.38783832910806787,0.21589197206943717,8846.437976548441,0.11442794175483656,-0.009409296335166755
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,0.9999999999999987,40976.22478386162,0,-1.5901204886240355E-17,0.3936994360180811,0.29583956378366527,12122.38846555905,0.12017981703199739,-0.008449925234596017,0.3936994360180811,0.21588821289732982,8846.283939867171,0.12017744035209846,-0.009409341445232042
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,0.9999999999999989,40976.22478386162,2.778084649931953E-28,-1.3942424652570175E-17,0.47002321018730503,0.29578738551139794,12120.250396945792,0.1772343223942891,-0.008450551373863224,0.47002321018730503,0.21583603476310212,8844.145876910252,0.17723048692190257,-0.009409967582842776
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,0.9999999999999989,40976.224783861624,2.8399121614957563E-28,-1.37688719890909E-17,0.4715119346672853,0.2957861860827768,12120.201248888998,0.17835608717945003,-0.008450565767006677,0.4715119346672853,0.21583483530755665,8844.096727750202,0.17835160621113966,-0.009409981976309321
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,0.9999999999999991,40976.22478386163,3.437373962519455E-28,-1.0773345285499543E-17,0.4956512155023368,0.295767400332518,12119.431479763662,0.1984803474353907,-0.008450791196009782,0.4956512155023368,0.21581604921106787,8843.32694443767,0.19847568355138023,-0.009410207409467186
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,1.0000000000000009,40976.22478386171,8.128314709607105E-28,1.2745879288840168E-17,0.6851795433059145,0.2956199049759911,12113.387676880036,0.3512955500647209,-0.008452561140288107,0.6851795433059145,0.21566855113613354,8837.283030163973,0.35129378090108376,-0.0094119773863664
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,0.9999999999999999,40976.22478386167,3.0682423282817515E-42,-1.3322676295501347E-18,0.9999999999999994,0.2952449181182812,12098.022131107522,0.7441871367400409,-0.008457060982580625,0.9999999999999994,0.2152935652208148,8821.91752300709,0.7441541801648099,-0.009416477217350222
