% Model,FULLCELL_NFM_cycle_0.1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 02:22"
% Dimension,3
% Nodes,11
% Expressions,15
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9533.3,xPos (1) @ t=9533.3,cPos (mol/m^3) @ t=9533.3,solid.mises (MPa) @ t=9533.3,epsilonChemPos (1) @ t=9533.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=10588,xPos (1) @ t=10588,cPos (mol/m^3) @ t=10588,solid.mises (MPa) @ t=10588,epsilonChemPos (1) @ t=10588
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,0.9999999999999979,40976.22478386158,2.249399914756955E-27,-2.4791314180251316E-17,0.19158661697344484,0.2958395065432933,12122.386120064702,1.5282740453851313,-0.008449925921480481,0.19158661697344484,0.21798834819447144,8932.339555879367,0.06373730086223163,-0.009384139821666342
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,0.999999999999999,40976.224783861624,1.5162951353536231E-27,-1.313506199432581E-17,0.22341925950609215,0.2961816325727567,12136.405153152404,2.163449175111632,-0.00844582040912692,0.22341925950609215,0.21798447103723745,8932.180684613024,0.057396314624574896,-0.009384186347553152
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,0.9999999999999989,40976.224783861624,0,-1.3561257465180039E-17,0.3654522618306715,0.2974257948955208,12187.386228157597,3.5576110100013807,-0.00843089046125375,0.3654522618306715,0.2179343147226313,8930.125468191392,0.09663705554172572,-0.009384788223328425
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,0.9999999999999979,40976.22478386158,2.236731254521253E-27,-2.536521698232306E-17,0.19142219510953803,0.2957822984646212,12120.041948973583,1.643798639159931,-0.008450612418424546,0.19142219510953803,0.21798818635283662,8932.33292422016,0.06331456915409345,-0.009384141763765959
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,0.9999999999999988,40976.224783861624,0,-1.5415680850892515E-17,0.38783832910806787,0.29760134757075213,12194.579714039282,4.04454393996731,-0.008428783829150976,0.38783832910806787,0.217919993744537,8929.538648573876,0.11396108605801977,-0.009384960075065556
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,0.9999999999999987,40976.22478386162,0,-1.5901204886240355E-17,0.3936994360180811,0.29764731066847355,12196.463108263279,5.044448880331254,-0.008428232271978319,0.3936994360180811,0.21791624423451245,8929.385007808283,0.11972359910823596,-0.00938500506918585
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,0.9999999999999989,40976.22478386162,2.778084649931953E-28,-1.3942424652570175E-17,0.47002321018730503,0.2981371064362172,12216.53308974053,10.937904470713365,-0.008422354722765394,0.47002321018730503,0.2178640595108474,8927.246674841099,0.17691668441834155,-0.009385631285869833
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,0.9999999999999989,40976.224783861624,2.8399121614957563E-28,-1.37688719890909E-17,0.4715119346672853,0.29814045076136675,12216.670127559606,12.410515429309953,-0.008422314590863601,0.4715119346672853,0.21786285975833022,8927.19751351227,0.17799586161117736,-0.009385645682900038
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,0.9999999999999991,40976.22478386163,3.437373962519455E-28,-1.0773345285499543E-17,0.4956512155023368,0.29818906066840845,12218.661978037271,13.024527820572025,-0.0084217312719791,0.4956512155023368,0.21784406911189455,8926.427543760088,0.19816243188445382,-0.009385871170657267
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,1.0000000000000009,40976.22478386171,8.128314709607105E-28,1.2745879288840168E-17,0.6851795433059145,0.29857071886523956,12234.300890101225,30.451370491798258,-0.008417151373617125,0.6851795433059145,0.2176965353132851,8920.382165665049,0.351361321487907,-0.00938764157624058
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,1.0000000000000007,40976.2247838617,3.0682423282817515E-42,7.993605777301145E-18,0.9999999999999994,0.19211759826721353,7872.253891532974,69.56037101692576,-0.009694588820793437,0.9999999999999994,0.2173208434746881,8904.98773243724,0.7455989570197701,-0.009392149878303743
