max_step_fraction,final_average_xNa,maximum_concentration_delta_xNa,maximum_average_stress_Pa,stress_p95_Pa,maximum_stress_Pa,average_xNa_change,concentration_delta_change,average_stress_change,stress_p95_change,maximum_stress_change,converged
0.04,0.2806188549725206,0.0011426637933833472,518111.2834691006,890180.4149876994,964939.7222647492,NaN,NaN,NaN,NaN,NaN,false
0.02,0.28256033828288984,0.0011426634210165432,518112.9896561467,890176.4209340422,964928.6009012,0.0069185775508896945,3.2587608552405536E-7,3.2930899220158145E-6,4.486791205378126E-6,1.1525448991941353E-5,true
0.01,0.28213206687813486,0.0011426647020810199,518112.230476202,890180.4229785558,964950.104285288,0.0015156812430137188,1.121121454628971E-6,1.4652787323479604E-6,4.495788047710268E-6,2.228494840754689E-5,true
