% Model,FULLCELL_NFMZC_charge_1C_dt_0p04.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:24"
% Dimension,3
% Nodes,11
% Expressions,30
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=951.33,xPos (1) @ t=951.33,cPos (mol/m^3) @ t=951.33,solid.mises (MPa) @ t=951.33,epsilonChemPos (1) @ t=951.33,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=1902.7,xPos (1) @ t=1902.7,cPos (mol/m^3) @ t=1902.7,solid.mises (MPa) @ t=1902.7,epsilonChemPos (1) @ t=1902.7,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2378.3,xPos (1) @ t=2378.3,cPos (mol/m^3) @ t=2378.3,solid.mises (MPa) @ t=2378.3,epsilonChemPos (1) @ t=2378.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2854,xPos (1) @ t=2854,cPos (mol/m^3) @ t=2854,solid.mises (MPa) @ t=2854,epsilonChemPos (1) @ t=2854,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=3562,xPos (1) @ t=3562,cPos (mol/m^3) @ t=3562,solid.mises (MPa) @ t=3562,epsilonChemPos (1) @ t=3562
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.6851795433059145,0.8080307504629604,33040.42197284603,0.4132300580464896,-0.0015357539962963184,0.6851795433059145,0.6158980963207267,25184.107143261732,0.41323939811145016,-0.0030728152294341874,0.6851795433059145,0.5198328881324719,21255.995479651556,0.41324196290423143,-0.003841336894940225,0.6851795433059145,0.4237680840680881,17327.900340688757,0.41324147305083847,-0.004609855327455296,0.6851795433059145,0.2807761758627021,11480.953324004662,0.41323715184185095,-0.005753790593098383
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.9999999999999994,0.8074338246698479,33016.01364422784,0.8747622471045756,-0.0015405294026412167,0.9999999999999994,0.6152994726399851,25159.62938792469,0.874945841610308,-0.0030776042188801196,0.9999999999999994,0.5192340347660224,21231.50833245324,0.8749749924418253,-0.003846127721871821,0.9999999999999994,0.4231692122082986,17303.412437296753,0.8749802526938502,-0.004614646302333611,0.9999999999999994,0.28017755167236913,11456.475547830398,0.8749469096356156,-0.005758579586621047
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.4956512155023368,0.8082651774822542,33050.00770660043,0.2335257902348814,-0.001533878580141966,0.4956512155023368,0.6161333672229515,25193.727383435747,0.23351142776812422,-0.0030709330622163875,0.4956512155023368,0.520068273888108,21265.62041618789,0.23351120121141458,-0.0038394538088951363,0.4956512155023368,0.42400347474998024,17337.525478659976,0.2335102739173482,-0.004607972202000158,0.4956512155023368,0.28101142838464743,11490.572812608028,0.23351088059673653,-0.00575190857292282
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.4715119346672853,0.8082950352862017,33051.22859385138,0.20986122468117854,-0.0015336397177103857,0.4715119346672853,0.6161633325080725,25194.952665597804,0.2098434059798337,-0.0030706933399354203,0.4715119346672853,0.5200982538015367,21266.84629650226,0.2098428002898547,-0.0038392139695877054,0.4715119346672853,0.42403345529084185,17338.751384630108,0.20984179990107982,-0.004607732357673265,0.4715119346672853,0.2810413913287635,11491.797999046266,0.2098431195835776,-0.005751668869369892
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.47002321018730503,0.8082969404472578,33051.30649599208,0.20855478450475992,-0.0015336244764219383,0.47002321018730503,0.6161652449736124,25195.030866419253,0.20853195570038247,-0.003070678040211102,0.47002321018730503,0.5201001672605301,21266.924537946077,0.20853048623950668,-0.0038391986619157586,0.47002321018730503,0.4240353687938895,17338.82962787531,0.20852954137322333,-0.004607717049648884,0.47002321018730503,0.2810433036457652,11491.876193793985,0.2085320862634497,-0.005751653570833878
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,1.0000000000000004,40890.055179107454,0,3.8292181799280045E-18,0.3654522618306715,0.8084080916738767,33055.85147578176,0.11431415178302971,-0.0015327352666089852,0.3654522618306715,0.6162770253271372,25199.601571242834,0.11428704619881927,-0.0030697837973829023,0.3654522618306715,0.5202120329927507,21271.49873390923,0.1142843638274065,-0.0038383037360579944,0.3654522618306715,0.42414723758838735,17343.40394905515,0.11428336188854801,-0.004606822099292901,0.3654522618306715,0.28115506918961036,11496.446293048935,0.11428717353142004,-0.005750759446483117
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,1.0000000000000004,40890.055179107454,0,4.293638333640766E-18,0.38783832910806787,0.8083854374314496,33054.925142558866,0.13469189890590594,-0.0015329165005484031,0.38783832910806787,0.6162542233785209,25198.669198305717,0.13466354472368178,-0.0030699662129718332,0.38783832910806787,0.5201892109564406,21270.565539585208,0.13466077689894135,-0.0038384863123484755,0.38783832910806787,0.4241244148814065,17342.470727307365,0.13465974749987086,-0.004607004680948748,0.38783832910806787,0.2811322709268835,11495.514070828045,0.1346635404536172,-0.005750941832584932
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,1.0000000000000004,40890.055179107454,0,4.4152325439299395E-18,0.3936994360180811,0.8083795061110803,33054.682610541684,0.1414628637588999,-0.0015329639511113575,0.3936994360180811,0.6162482533858045,25198.42508497412,0.1414313999604373,-0.0030700139729135647,0.3936994360180811,0.520183235704376,21270.321211198578,0.14142817311083108,-0.0038385341143649925,0.3936994360180811,0.42411843945374716,17342.226391740656,0.141427170919189,-0.004607052484370023,0.3936994360180811,0.2811263018992044,11495.269996956878,0.14143200846356238,-0.0057509895848063645
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,1.0000000000000007,40890.055179107454,0,5.101569066386422E-18,0.22341925950609215,0.808486814232139,33059.07044553294,0.0676448929742546,-0.0015321054861428887,0.22341925950609215,0.6163567456251432,25202.86133862719,0.06763062802322835,-0.0030691460349988545,0.22341925950609215,0.520291889934633,21274.764088669235,0.06762757403032303,-0.003837664880522936,0.22341925950609215,0.4242270991613878,17346.669493181827,0.06762644188490147,-0.004606183206708898,0.22341925950609215,0.28123476683855064,11499.705134311747,0.0676283978520967,-0.005750121865291595
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,1.0000000000000009,40890.05517910747,0,7.105427357601002E-18,0.19158661697344484,0.8084924726764142,33059.30181963158,0.07496297238210357,-0.0015320602185886858,0.19158661697344484,0.616362762300834,25203.107360828173,0.07495539834511543,-0.0030690979015933284,0.19158661697344484,0.5202979553596455,21275.01210423268,0.07495332900859714,-0.0038376163571228355,0.19158661697344484,0.424233166159114,17346.917573053626,0.07495278089899224,-0.004606134670727088,0.19158661697344484,0.2812407754225609,11499.950825643475,0.07495417708066482,-0.005750073796619512
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,1.0000000000000009,40890.05517910747,0,6.504591599396324E-18,0.19142219510953803,0.8084919934922384,33059.2822257642,0.0745076666678344,-0.0015320640520620921,0.19142219510953803,0.6163624067357855,25203.092821753715,0.07450561925994675,-0.003069100746113717,0.19142219510953803,0.5202976166815516,21274.99825566673,0.0745049387519237,-0.0038376190665475865,0.19142219510953803,0.4242328280324283,17346.90374703479,0.07450483946368731,-0.004606137375740574,0.19142219510953803,0.2812404170153985,11499.93617035483,0.07450559681438652,-0.005750076663876811
