% Model,FULLCELL_NFM_cycle_0.1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 02:24"
% Dimension,3
% Nodes,11
% Expressions,15
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9533.3,xPos (1) @ t=9533.3,cPos (mol/m^3) @ t=9533.3,solid.mises (MPa) @ t=9533.3,epsilonChemPos (1) @ t=9533.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=9891.6,xPos (1) @ t=9891.6,cPos (mol/m^3) @ t=9891.6,solid.mises (MPa) @ t=9891.6,epsilonChemPos (1) @ t=9891.6
1.5063900571079208E-5,4.5E-6,4.5E-6,0.19158661697344484,0.21798834819447166,8932.339555879376,0.06373730086246218,-0.009384139821666339,0.19158661697344484,0.9217767194051858,37770.930054877485,0.04915665478476767,-9.386793671377691E-4,0.19158661697344484,0.9482496175959575,38855.689481822825,0.04915455939140606,-6.210045888485095E-4
1.5253330899047078E-5,4.5E-6,4.5E-6,0.22341925950609215,0.21798447103723767,8932.180684613035,0.05739631462300314,-0.009384186347553149,0.22341925950609215,0.9217794004300986,37771.03991315695,0.04435604112132111,-9.386471948388181E-4,0.22341925950609215,0.9482523315318968,38855.80068867192,0.04435046583041024,-6.209720216172386E-4
1.5777782330652014E-5,4.5E-6,4.5E-6,0.3654522618306715,0.21793431472263125,8930.12546819139,0.09663705553846703,-0.009384788223328425,0.3654522618306715,0.9218171437281488,37772.58649102194,0.07496277915386146,-9.38194275262215E-4,0.3654522618306715,0.9482901668454695,38857.35103698565,0.07495395092995252,-6.205179978543644E-4
1.5E-5,4.5E-6,4.5E-6,0.19142219510953803,0.2179881863528368,8932.332924220167,0.06331456915430758,-0.009384141763765957,0.19142219510953803,0.9217769634320906,37770.94005417879,0.04886043283782591,-9.386764388149109E-4,0.19142219510953803,0.9482498502485853,38855.6990150492,0.04885987612252129,-6.21001797016976E-4
1.5856279307534507E-5,4.5E-6,4.5E-6,0.38783832910806787,0.21791999374453694,8929.538648573873,0.1139610860555851,-0.009384960075065557,0.38783832910806787,0.9218280200903688,37773.0321632851,0.0883246658434948,-9.38063758915575E-4,0.38783832910806787,0.948301056798642,38857.797266154725,0.0883158751439987,-6.203873184162963E-4
1.5876831339649846E-5,4.5E-6,4.5E-6,0.3936994360180811,0.2179162442345124,8929.385007808278,0.11972359910429883,-0.009385005069185852,0.3936994360180811,0.9218308677331,37773.14884893376,0.09276685555035308,-9.380295872028E-4,0.3936994360180811,0.9483039079997483,38857.91409761216,0.09275815841623217,-6.203531040030201E-4
1.611393168427778E-5,4.5E-6,4.5E-6,0.47002321018730503,0.21786405951084725,8927.246674841092,0.17691668441714056,-0.009385631285869833,0.47002321018730503,0.9218705201352256,37774.773654676486,0.13675956587774635,-9.375537583772913E-4,0.47002321018730503,0.9483436027795165,38859.54063983069,0.1367515783499756,-6.198767666458027E-4
1.6117812115520836E-5,4.5E-6,4.5E-6,0.4715119346672853,0.21786285975833006,8927.197513512263,0.1779958616145516,-0.009385645682900038,0.4715119346672853,0.9218714354800648,37774.81116205237,0.1376152263171974,-9.375427742392226E-4,0.4715119346672853,0.94834451887897,38859.57817812783,0.13760707310477743,-6.198657734523599E-4
1.6174781526103813E-5,4.5E-6,4.5E-6,0.4956512155023368,0.2178440691118944,8926.427543760083,0.19816243188823815,-0.009385871170657267,0.4956512155023368,0.9218857812880878,37775.39899910662,0.15313239200189865,-9.373706245429467E-4,0.4956512155023368,0.9483588755162303,38860.16645892334,0.15312488350770487,-6.196934938052356E-4
1.662207393707192E-5,4.5E-6,4.5E-6,0.6851795433059145,0.21769653531328503,8920.382165665049,0.35136132148654475,-0.009387641576240582,0.6851795433059145,0.9219984166654285,37780.01437164714,0.2709695578844462,-9.360190000148585E-4,0.6851795433059145,0.948471595918774,38864.78531547569,0.27096745485398294,-6.183408489747131E-4
1.75E-5,4.5E-6,4.5E-6,0.9999999999999994,0.2173208434746881,8904.98773243724,0.7455989570156809,-0.009392149878303743,0.9999999999999994,0.9222853468826426,37791.771688725,0.573629238320618,-9.325758374082886E-4,0.9999999999999994,0.9487587676862633,38876.55253037192,0.5737134196398589,-6.148947877648402E-4
