x,value
0.0,1.84e-13
0.1,1.84e-13
0.2,1.84e-13
0.3,1.84e-13
0.4,1.84e-13
0.5,1.84e-13
0.6,1.84e-13
0.7,1.84e-13
0.8,1.84e-13
0.9,1.84e-13
1.0,1.84e-13
